MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
41.45, 65.85, 2.08778e-13, -24.4
41.43, 63.72, -6.84651e-14, -22.29
40.41, 94.39, -3.5929e-14, -53.98
38.87, 40.39, -1.81852e-13, -1.52
34.58, 47.94, 6.91155e-14, -13.36
35.88, 57.44, -3.77881e-14, -21.56
40.37, 96.9, -2.35243e-13, -56.53
30.85, 36.57, -7.34919e-14, -5.72
25.55, 67.5, 1.35615e-13, -41.95
23.66, 39.82, -2.18015e-13, -16.16

Day9
19.21, 85.05, -5.08866e-15, -65.84
18.1, 35.32, 3.38091e-16, -17.22
18.41, 24.78, 7.23565e-15, -6.37
18.65, 26.51, -1.93728e-16, -7.86
18.9, 27.58, -4.0022e-16, -8.68
22.73, 30.07, -3.88512e-16, -7.34
33.52, 27.7, 3.91469e-15, 5.82
37.16, 33.64, -4.72609e-16, 3.52
38.46, 41.9, -2.81008e-15, -3.44
41.24, 49.05, -6.82838e-15, -7.81
44.37, 47.63, 2.6213e-16, -3.26
48.03, 64.35, -4.27856e-15, -16.32
47.96, 50.27, 5.93614e-15, -2.31
53.02, 50.08, 3.07844e-15, 2.94
53.85, 73.24, 6.36415e-15, -19.39
51.88, 88.26, -2.0865e-15, -36.38
52.94, 57.23, -1.09621e-15, -4.29
51.93, 38.8, -5.54274e-15, 13.13
46.06, 37.82, 2.10745e-15, 8.24
47.94, 56.02, -1.15152e-15, -8.08
49.4, 46.23, -7.17119e-15, 3.17
39.13, 29.95, -2.23964e-15, 9.18
29.17, 36.41, 4.13376e-15, -7.24
26.02, 29.2, -6.64589e-15, -3.18

Day10
24.93, 21.82, -7.38289e-16, 3.11
24.28, 28.81, 4.89796e-17, -4.53
23.77, 23.18, 1.04979e-15, 0.59
23.68, 19.11, -2.8177e-17, 4.57
24.24, 20.39, -5.81944e-17, 3.85
27.31, 24.08, -5.62795e-17, 3.23
32.71, 26.68, 5.67903e-16, 6.03
36.81, 28.68, -6.85355e-17, 8.13
38.97, 41.94, -4.07742e-16, -2.97
43.79, 41.04, -9.90675e-16, 2.75
